label	Sample collection date	Sample collection date decimal
Coli_000531	2015-07-01	2015.495890410959
Coli_000532	2015-07-01	2015.495890410959
Coli_000533	2015-07-01	2015.495890410959
Coli_000534	2015-07-01	2015.495890410959
Coli_000535	2015-07-01	2015.495890410959
Coli_000536	2015-07-01	2015.495890410959
Coli_000537	2015-07-01	2015.495890410959
Coli_000538	2006-07-01	2006.495890410959
Coli_000539	2006-07-01	2006.495890410959
Coli_000540	2006-07-01	2006.495890410959
Coli_000541	2006-07-01	2006.495890410959
Coli_000542	2006-07-01	2006.495890410959
Coli_000543	2006-07-01	2006.495890410959
Coli_000544	2006-07-01	2006.495890410959
Coli_000545	2006-07-01	2006.495890410959
Coli_000546	2006-07-01	2006.495890410959
Coli_000547	2006-07-01	2006.495890410959
Coli_000548	2006-07-01	2006.495890410959
Coli_000549	2006-07-01	2006.495890410959
Coli_000550	2007-07-01	2007.495890410959
Coli_000551	2007-07-01	2007.495890410959
Coli_000552	2008-07-01	2008.4972677595629
Coli_000553	2008-07-01	2008.4972677595629
Coli_000554	2008-07-01	2008.4972677595629
Coli_000555	2006-07-01	2006.495890410959
Coli_000556	2006-07-01	2006.495890410959
Coli_000557	2007-07-01	2007.495890410959
Coli_000558	2007-07-01	2007.495890410959
Coli_000559	2007-07-01	2007.495890410959
Coli_000560	2008-07-01	2008.4972677595629
Coli_000561	2008-07-01	2008.4972677595629
Coli_000562	2008-07-01	2008.4972677595629
Coli_000563	2007-07-01	2007.495890410959
Coli_000564	2007-07-01	2007.495890410959
Coli_000565	2008-07-01	2008.4972677595629
Coli_000566	2008-07-01	2008.4972677595629
Coli_000567	2008-07-01	2008.4972677595629
Coli_000568	2008-07-01	2008.4972677595629
Coli_000569	2008-07-01	2008.4972677595629
Coli_000570	2008-07-01	2008.4972677595629
Coli_000571	2008-07-01	2008.4972677595629
Coli_000572	2008-07-01	2008.4972677595629
Coli_000573	2008-07-01	2008.4972677595629
Coli_000574	2008-07-01	2008.4972677595629
Coli_000575	2008-07-01	2008.4972677595629
Coli_000576	2008-07-01	2008.4972677595629
Coli_000577	2008-07-01	2008.4972677595629
Coli_000578	2008-07-01	2008.4972677595629
Coli_000579	2008-07-01	2008.4972677595629
Coli_000580	2008-07-01	2008.4972677595629
Coli_000581	2002-07-01	2002.495890410959
Coli_000582	2002-07-01	2002.495890410959
Coli_000583	2002-07-01	2002.495890410959
Coli_000584	2003-07-01	2003.495890410959
Coli_000585	2003-07-01	2003.495890410959
Coli_000586	2003-07-01	2003.495890410959
Coli_000587	2003-07-01	2003.495890410959
Coli_000588	2003-07-01	2003.495890410959
Coli_000589	2004-07-01	2004.4972677595629
Coli_000590	2004-07-01	2004.4972677595629
Coli_000591	2004-07-01	2004.4972677595629
Coli_000592	2004-07-01	2004.4972677595629
Coli_000593	2004-07-01	2004.4972677595629
Coli_000594	2004-07-01	2004.4972677595629
Coli_000595	2005-07-01	2005.495890410959
Coli_000596	2005-07-01	2005.495890410959
Coli_000597	2005-07-01	2005.495890410959
Coli_000598	2006-07-01	2006.495890410959
Coli_000599	2007-07-01	2007.495890410959
Coli_000600	2008-07-01	2008.4972677595629
Coli_000601		
Coli_000602		
Coli_000603	2008-07-01	2008.4972677595629
Coli_000604	2008-07-01	2008.4972677595629
Coli_000605	2008-07-01	2008.4972677595629
Coli_000606	2008-07-01	2008.4972677595629
Coli_000607	2008-07-01	2008.4972677595629
Coli_000608	2008-07-01	2008.4972677595629
Coli_000609	2008-07-01	2008.4972677595629
Coli_000610	2008-07-01	2008.4972677595629
Coli_000611	2008-07-01	2008.4972677595629
Coli_000612	2008-07-01	2008.4972677595629
Coli_000613	2008-07-01	2008.4972677595629
Coli_000614	2008-07-01	2008.4972677595629
Coli_000615	2014-07-01	2014.495890410959
Coli_000616	2014-07-01	2014.495890410959
Coli_000617	2014-07-01	2014.495890410959
Coli_000618	2014-07-01	2014.495890410959
Coli_000619	2014-07-01	2014.495890410959
Coli_000620	2014-07-01	2014.495890410959
Coli_000621	2014-07-01	2014.495890410959
Coli_000622	2014-07-01	2014.495890410959
Coli_000623	2014-07-01	2014.495890410959
Coli_000624	2014-07-01	2014.495890410959
Coli_000625	2014-07-01	2014.495890410959
Coli_000626	2014-07-01	2014.495890410959
